翁家特制,#genre#
凤凰中文,http://110.81.206.138:50080/tsfile/live/23020_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8
凤凰资讯,http://110.81.206.138:50080/tsfile/live/23019_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN Arabic,http://livear.cgtn.com/1000a/prog_index.m3u8
CGTN Español,http://livees.cgtn.com/500e/prog_index.m3u8
CGTN France,http://livefr.cgtn.com/1000f/prog_index.m3u8
风云剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
风云音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
央视台球,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
第一剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
女性时尚,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8
怀旧剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
兵器科技,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
高尔夫网球,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8

CCTV1,http://1.180.245.195:9901/tsfile/live/0001_1.m3u8
CCTV2,http://1.180.245.195:9901/tsfile/live/0002_1.m3u8
CCTV3,http://1.180.245.195:9901/tsfile/live/0003_1.m3u8
CCTV4,http://1.180.245.195:9901/tsfile/live/0004_1.m3u8
CCTV5,http://1.180.245.195:9901/tsfile/live/0005_1.m3u8
CCTV6,http://1.180.245.195:9901/tsfile/live/0006_1.m3u8
CCTV7,http://1.180.245.195:9901/tsfile/live/0007_1.m3u8
CCTV8,http://1.180.245.195:9901/tsfile/live/0008_1.m3u8
CCTV9,http://1.180.245.195:9901/tsfile/live/0009_1.m3u8
CCTV10,http://1.180.245.195:9901/tsfile/live/0010_1.m3u8
CCTV12,http://1.180.245.195:9901/tsfile/live/0012_1.m3u8
CCTV13,http://1.180.245.195:9901/tsfile/live/0013_1.m3u8
CCTV14,http://1.180.245.195:9901/tsfile/live/0014_1.m3u8
CCTV15,http://1.180.245.195:9901/tsfile/live/0015_1.m3u8
CCTV16,http://1.180.245.195:9901/tsfile/live/1006_1.m3u8
CCTV17,http://1.180.245.195:9901/tsfile/live/1007_1.m3u8
CCTV1,http://223.75.123.222:9901/tsfile/live/1000_1.m3u8
CCTV1,http://223.75.123.222:9901/tsfile/live/1000_1.m3u8
CCTV2,http://223.75.123.222:9901/tsfile/live/1001_1.m3u8
CCTV3,http://223.75.123.222:9901/tsfile/live/1002_1.m3u8
CCTV4,http://223.75.123.222:9901/tsfile/live/1003_1.m3u8
CCTV5,http://223.75.123.222:9901/tsfile/live/1004_1.m3u8
CCTV6,http://223.75.123.222:9901/tsfile/live/1005_1.m3u8
CCTV7,http://223.75.123.222:9901/tsfile/live/1006_1.m3u8
CCTV8,http://223.75.123.222:9901/tsfile/live/1007_1.m3u8
CCTV9,http://223.75.123.222:9901/tsfile/live/1008_1.m3u8
